TGL_TRANSAKSI,NAMA_BARANG,JUMLAH_STOK
2023-02-15,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-15,TAS RANSEL OTHELLO SERIES,0
2023-02-16,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-16,TAS RANSEL OTHELLO SERIES,0
2023-02-17,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-17,TAS RANSEL OTHELLO SERIES,0
2023-02-18,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-02-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-18,TAS RANSEL OTHELLO SERIES,0
2023-02-19,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-02-19,TAS RANSEL OTHELLO SERIES,0
2023-02-20,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-20,TAS RANSEL OTHELLO SERIES,0
2023-02-21,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-02-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-02-21,TAS RANSEL OTHELLO SERIES,1
2023-02-22,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-02-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-22,TAS RANSEL OTHELLO SERIES,0
2023-02-23,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-02-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-02-23,TAS RANSEL OTHELLO SERIES,0
2023-02-24,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-02-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-24,TAS RANSEL OTHELLO SERIES,0
2023-02-25,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-25,TAS RANSEL OTHELLO SERIES,0
2023-02-26,BANTAL IBU MENYUSUI SERI SQUIREL,7
2023-02-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-02-26,TAS RANSEL OTHELLO SERIES,0
2023-02-27,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-27,TAS RANSEL OTHELLO SERIES,0
2023-02-28,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-02-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-28,TAS RANSEL OTHELLO SERIES,0
2023-03-01,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-03-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-03-01,TAS RANSEL OTHELLO SERIES,2
2023-03-02,BANTAL IBU MENYUSUI SERI SQUIREL,4
2023-03-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-03-02,TAS RANSEL OTHELLO SERIES,1
2023-03-03,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-03-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-03-03,TAS RANSEL OTHELLO SERIES,0
2023-03-04,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-03-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-03-04,TAS RANSEL OTHELLO SERIES,1
2023-03-05,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-05,TAS RANSEL OTHELLO SERIES,0
2023-03-06,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-03-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-03-06,TAS RANSEL OTHELLO SERIES,0
2023-03-07,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-03-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-07,TAS RANSEL OTHELLO SERIES,0
2023-03-08,BANTAL IBU MENYUSUI SERI SQUIREL,4
2023-03-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-08,TAS RANSEL OTHELLO SERIES,0
2023-03-09,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-03-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-09,TAS RANSEL OTHELLO SERIES,2
2023-03-10,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-03-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-10,TAS RANSEL OTHELLO SERIES,0
2023-03-11,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-03-11,TAS RANSEL OTHELLO SERIES,0
2023-03-12,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-12,TAS RANSEL OTHELLO SERIES,0
2023-03-13,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-03-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-03-13,TAS RANSEL OTHELLO SERIES,0
2023-03-14,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-03-14,TAS RANSEL OTHELLO SERIES,0
2023-03-15,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-03-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-15,TAS RANSEL OTHELLO SERIES,0
2023-03-16,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-03-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-16,TAS RANSEL OTHELLO SERIES,0
2023-03-17,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-03-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-03-17,TAS RANSEL OTHELLO SERIES,0
2023-03-18,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-03-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-18,TAS RANSEL OTHELLO SERIES,0
2023-03-19,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-19,TAS RANSEL OTHELLO SERIES,0
2023-03-20,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-03-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-03-20,TAS RANSEL OTHELLO SERIES,0
